feedback_id,store_id,region,date,rating,category,comment,resolved,channel
FB-00594,M-0005,Mid-Atlantic,2023-01-29,5,Loyalty Rewards,Staff was incredibly friendly and welcoming.,True,In-Store Kiosk
FB-00396,S-0009,Southwest,2023-01-30,3,Service Speed,"Barista seemed new, but got it right eventually.",True,In-Store Kiosk
FB-00361,N-0006,Northeast,2023-01-31,3,Service Speed,Store was a bit crowded.,True,App
FB-00391,N-0006,Northeast,2023-02-02,4,App Experience,Drink was good but had a short wait.,True,Email Survey
FB-00117,M-0009,Mountain,2023-02-03,2,Food Quality,Wrong drink made twice.,True,App
FB-00418,WC-0006,West Coast,2023-02-03,4,Food Quality,Usually consistent quality.,True,In-Store Kiosk
FB-00055,N-0007,Northeast,2023-02-04,3,Service Speed,Drink was okay but took longer than usual.,True,In-Store Kiosk
FB-00108,WC-0010,West Coast,2023-02-04,2,Loyalty Rewards,Wrong drink made twice.,False,In-Store Kiosk
FB-00278,S-0010,Southeast,2023-02-08,3,Drink Quality,"Barista seemed new, but got it right eventually.",True,App
FB-00335,N-0001,Northeast,2023-02-08,3,App Experience,"Average visit, nothing special.",True,In-Store Kiosk
FB-00535,S-0008,Southwest,2023-02-09,4,Staff Friendliness,Usually consistent quality.,True,In-Store Kiosk
FB-00275,N-0004,Northeast,2023-02-13,3,App Experience,"Average visit, nothing special.",True,App
FB-00484,WC-0002,West Coast,2023-02-14,3,Staff Friendliness,"Average visit, nothing special.",True,Google Review
FB-00034,WC-0010,West Coast,2023-02-16,4,Service Speed,Drink was good but had a short wait.,True,Email Survey
FB-00569,PN-0005,Pacific Northwest,2023-02-16,4,Drink Quality,Usually consistent quality.,True,In-Store Kiosk
FB-00423,WC-0006,West Coast,2023-02-17,4,Loyalty Rewards,Drink was good but had a short wait.,True,In-Store Kiosk
FB-00581,M-0008,Mountain,2023-02-19,3,Drink Quality,"Barista seemed new, but got it right eventually.",True,Email Survey
FB-00176,M-0002,Mountain,2023-02-19,3,Cleanliness,Store was a bit crowded.,True,Google Review
FB-00314,S-0007,Southwest,2023-02-21,5,Loyalty Rewards,Excellent service!,True,Email Survey
FB-00266,S-0006,Southwest,2023-02-21,4,Loyalty Rewards,Good experience overall.,True,App
FB-00582,M-0003,Mountain,2023-02-22,4,Drink Quality,Clean store and helpful staff.,True,In-Store Kiosk
FB-00560,M-0010,Mountain,2023-02-22,4,Service Speed,Usually consistent quality.,True,Google Review
FB-00073,WC-0003,West Coast,2023-02-25,3,Food Quality,Store was a bit crowded.,True,In-Store Kiosk
FB-00439,PN-0004,Pacific Northwest,2023-02-27,4,Staff Friendliness,Usually consistent quality.,True,Email Survey
FB-00450,WC-0007,West Coast,2023-03-03,4,Service Speed,Mobile app worked great today.,True,Email Survey
FB-00205,S-0010,Southeast,2023-03-05,4,Service Speed,Good experience overall.,True,App
FB-00208,WC-0008,West Coast,2023-03-07,2,App Experience,Store was not clean.,True,Email Survey
FB-00254,WC-0006,West Coast,2023-03-07,4,Food Quality,Clean store and helpful staff.,True,Google Review
FB-00283,M-0007,Midwest,2023-03-09,1,Cleanliness,Waited 25 minutes for a latte.,True,App
FB-00285,PN-0009,Pacific Northwest,2023-03-10,4,App Experience,Usually consistent quality.,True,Google Review
FB-00471,WC-0007,West Coast,2023-03-12,3,Staff Friendliness,Store was a bit crowded.,True,Google Review
FB-00316,S-0001,Southeast,2023-03-12,4,Cleanliness,Drink was good but had a short wait.,True,Google Review
FB-00112,S-0001,Southeast,2023-03-14,3,Loyalty Rewards,"Barista seemed new, but got it right eventually.",True,Google Review
FB-00473,WC-0002,West Coast,2023-03-15,3,Loyalty Rewards,"Barista seemed new, but got it right eventually.",True,Google Review
FB-00301,S-0003,Southeast,2023-03-16,4,Service Speed,Drink was good but had a short wait.,True,Email Survey
FB-00246,WC-0003,West Coast,2023-03-16,4,Drink Quality,Mobile app worked great today.,True,App
FB-00113,S-0001,Southwest,2023-03-17,3,Staff Friendliness,"Average visit, nothing special.",True,App
FB-00537,M-0007,Midwest,2023-03-19,3,Food Quality,"Average visit, nothing special.",True,App
FB-00312,S-0010,Southeast,2023-03-19,3,Loyalty Rewards,Store was a bit crowded.,True,In-Store Kiosk
FB-00494,N-0007,Northeast,2023-03-20,3,Cleanliness,Drink was okay but took longer than usual.,True,Email Survey
FB-00012,M-0003,Midwest,2023-03-20,4,App Experience,Good experience overall.,True,Google Review
FB-00164,S-0005,Southwest,2023-03-21,2,App Experience,Store was not clean.,True,In-Store Kiosk
FB-00020,M-0007,Mountain,2023-03-21,3,Service Speed,Drink was okay but took longer than usual.,True,Email Survey
FB-00577,S-0001,Southeast,2023-03-23,5,Loyalty Rewards,Staff was incredibly friendly and welcoming.,True,In-Store Kiosk
FB-00178,M-0001,Mid-Atlantic,2023-03-26,4,Cleanliness,Usually consistent quality.,True,In-Store Kiosk
FB-00211,M-0004,Midwest,2023-03-26,3,Cleanliness,"Barista seemed new, but got it right eventually.",True,Google Review
FB-00427,WC-0004,West Coast,2023-03-29,3,App Experience,Drink was okay but took longer than usual.,True,Email Survey
FB-00412,S-0003,Southeast,2023-03-30,4,Food Quality,Usually consistent quality.,True,Google Review
FB-00321,PN-0008,Pacific Northwest,2023-04-02,3,App Experience,Drink was okay but took longer than usual.,True,App
FB-00325,N-0004,Northeast,2023-04-04,5,Cleanliness,App order was ready early.,True,In-Store Kiosk
FB-00156,N-0005,Northeast,2023-04-05,3,Service Speed,Store was a bit crowded.,True,Google Review
FB-00179,M-0007,Mid-Atlantic,2023-04-06,3,Drink Quality,"Barista seemed new, but got it right eventually.",True,App
FB-00280,S-0007,Southeast,2023-04-06,3,Service Speed,Store was a bit crowded.,True,Google Review
FB-00536,WC-0006,West Coast,2023-04-06,4,Food Quality,Mobile app worked great today.,True,App
FB-00233,M-0001,Midwest,2023-04-07,4,Service Speed,Usually consistent quality.,True,App
FB-00347,WC-0003,West Coast,2023-04-07,3,App Experience,"Average visit, nothing special.",True,Email Survey
FB-00515,PN-0004,Pacific Northwest,2023-04-07,3,Staff Friendliness,"Barista seemed new, but got it right eventually.",True,In-Store Kiosk
FB-00485,M-0010,Midwest,2023-04-07,4,Service Speed,Mobile app worked great today.,True,Google Review
FB-00495,M-0004,Mountain,2023-04-07,5,Cleanliness,Barista remembered my order.,True,App
FB-00202,N-0007,Northeast,2023-04-08,5,Food Quality,Love the new seasonal menu.,True,App
FB-00554,PN-0010,Pacific Northwest,2023-04-09,2,Loyalty Rewards,App charged me but order wasn't ready.,True,App
FB-00195,M-0003,Mid-Atlantic,2023-04-12,5,Cleanliness,Fastest drive-thru I've been to.,True,In-Store Kiosk
FB-00123,PN-0008,Pacific Northwest,2023-04-12,4,Loyalty Rewards,Good experience overall.,True,Google Review
FB-00013,S-0005,Southeast,2023-04-12,3,Drink Quality,Store was a bit crowded.,True,Email Survey
FB-00150,N-0005,Northeast,2023-04-13,5,Cleanliness,Barista remembered my order.,True,In-Store Kiosk
FB-00059,M-0001,Mid-Atlantic,2023-04-16,4,Staff Friendliness,Good experience overall.,True,Email Survey
FB-00085,M-0005,Midwest,2023-04-16,4,Staff Friendliness,Clean store and helpful staff.,True,App
FB-00349,PN-0001,Pacific Northwest,2023-04-17,2,Cleanliness,App charged me but order wasn't ready.,True,App
FB-00106,S-0001,Southeast,2023-04-18,5,Cleanliness,Excellent service!,True,In-Store Kiosk
FB-00101,S-0010,Southwest,2023-04-22,3,Cleanliness,Drink was okay but took longer than usual.,True,Email Survey
FB-00146,WC-0005,West Coast,2023-04-24,4,Loyalty Rewards,Drink was good but had a short wait.,True,App
FB-00065,N-0002,Northeast,2023-04-27,5,Loyalty Rewards,Barista remembered my order.,True,Email Survey
FB-00315,M-0010,Mid-Atlantic,2023-04-28,4,Service Speed,Usually consistent quality.,True,App
FB-00018,M-0003,Mountain,2023-04-30,3,App Experience,Drink was okay but took longer than usual.,True,Google Review
FB-00250,M-0006,Midwest,2023-04-30,5,Loyalty Rewards,Love the new seasonal menu.,True,Email Survey
FB-00160,M-0005,Mountain,2023-05-01,4,Food Quality,Usually consistent quality.,True,Google Review
FB-00503,S-0007,Southwest,2023-05-04,3,Loyalty Rewards,Drink was okay but took longer than usual.,True,App
FB-00240,WC-0006,West Coast,2023-05-04,4,Service Speed,Usually consistent quality.,True,Google Review
FB-00555,WC-0008,West Coast,2023-05-08,3,Loyalty Rewards,Drink was okay but took longer than usual.,True,App
FB-00299,M-0006,Midwest,2023-05-12,4,Food Quality,Clean store and helpful staff.,True,Google Review
FB-00063,S-0010,Southwest,2023-05-14,4,Drink Quality,Drink was good but had a short wait.,True,App
FB-00127,S-0002,Southeast,2023-05-16,3,Loyalty Rewards,"Barista seemed new, but got it right eventually.",True,Email Survey
FB-00219,N-0003,Northeast,2023-05-16,4,Drink Quality,Good experience overall.,True,App
FB-00491,PN-0003,Pacific Northwest,2023-05-19,4,Service Speed,Clean store and helpful staff.,True,App
FB-00124,S-0004,Southeast,2023-05-19,2,Loyalty Rewards,Wrong drink made twice.,True,Email Survey
FB-00062,M-0003,Midwest,2023-05-20,2,Staff Friendliness,Wrong drink made twice.,False,Email Survey
FB-00375,S-0001,Southwest,2023-05-20,3,Loyalty Rewards,Store was a bit crowded.,True,In-Store Kiosk
FB-00057,N-0006,Northeast,2023-05-22,4,Drink Quality,Usually consistent quality.,True,App
FB-00257,S-0002,Southeast,2023-05-22,4,Loyalty Rewards,Drink was good but had a short wait.,True,App
FB-00376,M-0007,Mountain,2023-05-23,4,Staff Friendliness,Mobile app worked great today.,True,Google Review
FB-00137,S-0001,Southeast,2023-05-23,3,Food Quality,Store was a bit crowded.,True,Email Survey
FB-00029,M-0005,Mountain,2023-05-24,4,Loyalty Rewards,Clean store and helpful staff.,True,App
FB-00064,PN-0007,Pacific Northwest,2023-05-24,5,Food Quality,Excellent service!,True,App
FB-00118,S-0005,Southwest,2023-05-28,5,Service Speed,Staff was incredibly friendly and welcoming.,True,In-Store Kiosk
FB-00422,M-0001,Midwest,2023-05-29,2,Staff Friendliness,Out of my usual syrup again.,True,Google Review
FB-00159,PN-0008,Pacific Northwest,2023-05-30,3,Drink Quality,Drink was okay but took longer than usual.,True,App
FB-00153,M-0009,Midwest,2023-06-01,5,Drink Quality,Barista remembered my order.,True,In-Store Kiosk
FB-00175,WC-0006,West Coast,2023-06-06,3,App Experience,"Barista seemed new, but got it right eventually.",True,App
FB-00058,S-0005,Southeast,2023-06-07,3,Service Speed,"Barista seemed new, but got it right eventually.",True,Google Review
FB-00143,S-0008,Southeast,2023-06-09,4,Cleanliness,Clean store and helpful staff.,True,In-Store Kiosk
FB-00530,M-0001,Midwest,2023-06-11,4,Food Quality,Usually consistent quality.,True,In-Store Kiosk
FB-00388,WC-0004,West Coast,2023-06-12,4,Loyalty Rewards,Clean store and helpful staff.,True,In-Store Kiosk
FB-00415,M-0007,Mid-Atlantic,2023-06-13,3,Service Speed,"Average visit, nothing special.",True,Google Review
FB-00234,M-0006,Mountain,2023-06-17,2,Food Quality,App charged me but order wasn't ready.,True,In-Store Kiosk
FB-00190,M-0005,Midwest,2023-06-18,3,Staff Friendliness,"Barista seemed new, but got it right eventually.",True,App
FB-00027,N-0010,Northeast,2023-06-18,3,Drink Quality,Drink was okay but took longer than usual.,True,Email Survey
FB-00470,WC-0001,West Coast,2023-06-19,3,Food Quality,Drink was okay but took longer than usual.,True,In-Store Kiosk
FB-00392,M-0008,Mountain,2023-06-19,4,Food Quality,Good experience overall.,True,App
FB-00413,PN-0007,Pacific Northwest,2023-06-20,3,Loyalty Rewards,"Barista seemed new, but got it right eventually.",True,Email Survey
FB-00500,M-0009,Mountain,2023-06-20,3,Food Quality,"Average visit, nothing special.",True,App
FB-00374,N-0007,Northeast,2023-06-22,3,Service Speed,"Average visit, nothing special.",True,Google Review
FB-00573,M-0007,Mid-Atlantic,2023-06-26,3,Loyalty Rewards,"Barista seemed new, but got it right eventually.",True,Email Survey
FB-00452,PN-0004,Pacific Northwest,2023-06-27,4,Service Speed,Mobile app worked great today.,True,In-Store Kiosk
FB-00589,M-0007,Mid-Atlantic,2023-06-27,5,Food Quality,My drink was perfect.,True,In-Store Kiosk
FB-00474,S-0005,Southeast,2023-06-28,5,Food Quality,App order was ready early.,True,App
FB-00440,N-0001,Northeast,2023-07-01,2,Service Speed,Long wait with no update.,True,Google Review
FB-00216,N-0006,Northeast,2023-07-01,4,Food Quality,Clean store and helpful staff.,True,Google Review
FB-00197,M-0009,Mid-Atlantic,2023-07-01,4,Service Speed,Usually consistent quality.,True,In-Store Kiosk
FB-00054,PN-0005,Pacific Northwest,2023-07-03,5,Food Quality,App order was ready early.,True,In-Store Kiosk
FB-00244,M-0008,Mountain,2023-07-03,4,App Experience,Drink was good but had a short wait.,True,Email Survey
FB-00192,WC-0006,West Coast,2023-07-05,4,Drink Quality,Good experience overall.,True,Email Survey
FB-00404,M-0007,Mountain,2023-07-07,2,Loyalty Rewards,Store was not clean.,False,App
FB-00207,M-0003,Mountain,2023-07-08,4,Loyalty Rewards,Usually consistent quality.,True,Google Review
FB-00070,S-0005,Southwest,2023-07-10,3,App Experience,"Barista seemed new, but got it right eventually.",True,Email Survey
FB-00464,S-0010,Southeast,2023-07-10,2,Cleanliness,App charged me but order wasn't ready.,True,In-Store Kiosk
FB-00356,PN-0003,Pacific Northwest,2023-07-11,2,App Experience,Out of my usual syrup again.,True,App
FB-00130,WC-0007,West Coast,2023-07-12,4,App Experience,Good experience overall.,True,In-Store Kiosk
FB-00487,S-0009,Southeast,2023-07-17,4,Service Speed,Good experience overall.,True,App
FB-00155,M-0009,Midwest,2023-07-17,3,Staff Friendliness,Store was a bit crowded.,True,App
FB-00045,S-0009,Southeast,2023-07-18,3,Service Speed,Store was a bit crowded.,True,App
FB-00469,M-0002,Mid-Atlantic,2023-07-20,4,App Experience,Mobile app worked great today.,True,Google Review
FB-00098,WC-0007,West Coast,2023-07-21,4,App Experience,Usually consistent quality.,True,Google Review
FB-00040,WC-0010,West Coast,2023-07-22,4,Drink Quality,Usually consistent quality.,True,App
FB-00383,PN-0009,Pacific Northwest,2023-07-23,3,Food Quality,Store was a bit crowded.,True,In-Store Kiosk
FB-00598,M-0006,Mid-Atlantic,2023-07-24,4,Staff Friendliness,Good experience overall.,True,App
FB-00311,M-0010,Mid-Atlantic,2023-07-25,4,Food Quality,Drink was good but had a short wait.,True,In-Store Kiosk
FB-00546,M-0004,Mountain,2023-07-26,4,Loyalty Rewards,Usually consistent quality.,True,In-Store Kiosk
FB-00084,M-0005,Midwest,2023-07-27,3,Food Quality,"Barista seemed new, but got it right eventually.",True,Google Review
FB-00291,S-0001,Southwest,2023-07-27,5,Service Speed,Barista remembered my order.,True,Email Survey
FB-00047,S-0005,Southeast,2023-07-31,4,App Experience,Good experience overall.,True,Email Survey
FB-00097,WC-0010,West Coast,2023-08-01,5,Service Speed,Barista remembered my order.,True,App
FB-00514,WC-0002,West Coast,2023-08-01,4,Food Quality,Mobile app worked great today.,True,Email Survey
FB-00284,PN-0009,Pacific Northwest,2023-08-01,4,Staff Friendliness,Drink was good but had a short wait.,True,Email Survey
FB-00599,PN-0008,Pacific Northwest,2023-08-01,3,Food Quality,Drink was okay but took longer than usual.,True,App
FB-00230,M-0010,Mountain,2023-08-02,4,Drink Quality,Clean store and helpful staff.,True,Email Survey
FB-00547,S-0005,Southwest,2023-08-02,4,Cleanliness,Usually consistent quality.,True,App
FB-00399,S-0005,Southeast,2023-08-03,4,Staff Friendliness,Drink was good but had a short wait.,True,App
FB-00499,S-0010,Southeast,2023-08-05,4,App Experience,Mobile app worked great today.,True,App
FB-00087,PN-0005,Pacific Northwest,2023-08-06,2,Food Quality,Store was not clean.,True,Email Survey
FB-00432,S-0008,Southeast,2023-08-07,5,Loyalty Rewards,Barista remembered my order.,True,App
FB-00109,WC-0005,West Coast,2023-08-09,3,Cleanliness,"Barista seemed new, but got it right eventually.",True,Google Review
FB-00460,S-0003,Southeast,2023-08-10,4,Cleanliness,Good experience overall.,True,Email Survey
FB-00134,S-0006,Southeast,2023-08-12,3,Staff Friendliness,"Average visit, nothing special.",True,Google Review
FB-00381,WC-0006,West Coast,2023-08-13,4,Staff Friendliness,Usually consistent quality.,True,App
FB-00235,M-0008,Mountain,2023-08-14,2,Loyalty Rewards,Store was not clean.,False,In-Store Kiosk
FB-00191,S-0004,Southwest,2023-08-15,5,Food Quality,Barista remembered my order.,True,Email Survey
FB-00199,N-0007,Northeast,2023-08-15,3,Drink Quality,Store was a bit crowded.,True,App
FB-00066,WC-0004,West Coast,2023-08-17,4,App Experience,Good experience overall.,True,In-Store Kiosk
FB-00405,PN-0008,Pacific Northwest,2023-08-17,4,App Experience,Drink was good but had a short wait.,True,Email Survey
FB-00105,M-0009,Mountain,2023-08-18,3,Drink Quality,Store was a bit crowded.,True,In-Store Kiosk
FB-00507,PN-0009,Pacific Northwest,2023-08-19,3,Staff Friendliness,"Barista seemed new, but got it right eventually.",True,In-Store Kiosk
FB-00204,PN-0010,Pacific Northwest,2023-08-20,4,Cleanliness,Mobile app worked great today.,True,Google Review
FB-00420,S-0005,Southwest,2023-08-23,4,Loyalty Rewards,Mobile app worked great today.,True,App
FB-00384,WC-0009,West Coast,2023-08-23,4,Food Quality,Usually consistent quality.,True,Google Review
FB-00339,N-0010,Northeast,2023-08-24,5,Service Speed,Fastest drive-thru I've been to.,True,In-Store Kiosk
FB-00200,S-0002,Southwest,2023-08-25,3,App Experience,Drink was okay but took longer than usual.,True,App
FB-00177,M-0004,Mid-Atlantic,2023-08-28,4,Cleanliness,Usually consistent quality.,True,Email Survey
FB-00038,M-0004,Mid-Atlantic,2023-08-28,4,Service Speed,Usually consistent quality.,True,Email Survey
FB-00333,N-0004,Northeast,2023-08-29,3,Staff Friendliness,"Barista seemed new, but got it right eventually.",True,In-Store Kiosk
FB-00402,S-0003,Southeast,2023-09-02,1,Food Quality,Drink was completely wrong.,True,Email Survey
FB-00203,S-0010,Southeast,2023-09-03,3,Food Quality,Drink was okay but took longer than usual.,True,In-Store Kiosk
FB-00466,M-0007,Midwest,2023-09-04,4,App Experience,Usually consistent quality.,True,Google Review
FB-00271,N-0005,Northeast,2023-09-05,4,Service Speed,Usually consistent quality.,True,Google Review
FB-00516,N-0010,Northeast,2023-09-06,5,Service Speed,Staff was incredibly friendly and welcoming.,True,Google Review
FB-00323,WC-0007,West Coast,2023-09-06,4,Food Quality,Mobile app worked great today.,True,Google Review
FB-00389,WC-0005,West Coast,2023-09-07,4,Loyalty Rewards,Clean store and helpful staff.,True,Email Survey
FB-00068,S-0003,Southwest,2023-09-07,4,Food Quality,Mobile app worked great today.,True,Email Survey
FB-00093,S-0001,Southeast,2023-09-08,4,Service Speed,Clean store and helpful staff.,True,In-Store Kiosk
FB-00222,S-0006,Southwest,2023-09-09,4,Drink Quality,Drink was good but had a short wait.,True,In-Store Kiosk
FB-00424,S-0002,Southwest,2023-09-10,2,Staff Friendliness,Long wait with no update.,True,Email Survey
FB-00411,M-0004,Mid-Atlantic,2023-09-11,4,Cleanliness,Usually consistent quality.,True,Google Review
FB-00574,S-0007,Southeast,2023-09-13,5,App Experience,App order was ready early.,True,Email Survey
FB-00061,M-0007,Mountain,2023-09-13,5,Drink Quality,Staff was incredibly friendly and welcoming.,True,In-Store Kiosk
FB-00185,S-0003,Southwest,2023-09-14,5,Drink Quality,Barista remembered my order.,True,Email Survey
FB-00477,M-0001,Mid-Atlantic,2023-09-14,3,Cleanliness,Store was a bit crowded.,True,Google Review
FB-00048,S-0002,Southeast,2023-09-14,5,Drink Quality,My drink was perfect.,True,Google Review
FB-00457,M-0002,Midwest,2023-09-21,4,Food Quality,Good experience overall.,True,App
FB-00265,S-0003,Southwest,2023-09-25,5,App Experience,Fastest drive-thru I've been to.,True,App
FB-00596,WC-0001,West Coast,2023-09-29,4,Loyalty Rewards,Drink was good but had a short wait.,True,App
FB-00591,M-0008,Mid-Atlantic,2023-09-29,4,Loyalty Rewards,Clean store and helpful staff.,True,Email Survey
FB-00290,PN-0009,Pacific Northwest,2023-10-02,5,Cleanliness,My drink was perfect.,True,Google Review
FB-00529,WC-0005,West Coast,2023-10-02,3,Drink Quality,Store was a bit crowded.,True,Email Survey
FB-00444,S-0001,Southwest,2023-10-06,4,Service Speed,Mobile app worked great today.,True,In-Store Kiosk
FB-00095,N-0002,Northeast,2023-10-08,5,App Experience,Love the new seasonal menu.,True,Google Review
FB-00186,N-0001,Northeast,2023-10-08,4,Service Speed,Clean store and helpful staff.,True,In-Store Kiosk
FB-00371,N-0008,Northeast,2023-10-09,1,Drink Quality,App crashed during payment.,True,App
FB-00021,M-0004,Mountain,2023-10-12,3,Drink Quality,"Average visit, nothing special.",True,In-Store Kiosk
FB-00567,PN-0001,Pacific Northwest,2023-10-12,4,Staff Friendliness,Good experience overall.,True,Email Survey
FB-00236,M-0003,Mid-Atlantic,2023-10-14,3,Staff Friendliness,Store was a bit crowded.,True,In-Store Kiosk
FB-00588,M-0005,Mid-Atlantic,2023-10-14,3,Loyalty Rewards,Store was a bit crowded.,True,Google Review
FB-00393,M-0004,Mid-Atlantic,2023-10-15,4,Drink Quality,Mobile app worked great today.,True,In-Store Kiosk
FB-00544,WC-0003,West Coast,2023-10-15,2,Food Quality,Long wait with no update.,False,Google Review
FB-00114,M-0001,Mountain,2023-10-17,4,App Experience,Mobile app worked great today.,True,App
FB-00133,S-0006,Southeast,2023-10-18,5,Service Speed,Excellent service!,True,In-Store Kiosk
FB-00557,S-0005,Southwest,2023-10-19,2,Food Quality,Out of my usual syrup again.,True,Google Review
FB-00549,WC-0003,West Coast,2023-10-19,2,Drink Quality,Out of my usual syrup again.,False,In-Store Kiosk
FB-00210,S-0001,Southwest,2023-10-20,2,Loyalty Rewards,Store was not clean.,True,In-Store Kiosk
FB-00308,S-0004,Southwest,2023-10-22,3,Loyalty Rewards,Store was a bit crowded.,True,App
FB-00165,S-0005,Southeast,2023-10-22,4,Cleanliness,Mobile app worked great today.,True,Google Review
FB-00320,S-0006,Southwest,2023-10-23,4,App Experience,Mobile app worked great today.,True,In-Store Kiosk
FB-00328,M-0003,Mid-Atlantic,2023-10-25,5,Service Speed,Excellent service!,True,App
FB-00267,S-0006,Southeast,2023-10-26,4,Cleanliness,Good experience overall.,True,Google Review
FB-00426,S-0006,Southeast,2023-10-27,4,App Experience,Good experience overall.,True,Email Survey
FB-00248,M-0004,Midwest,2023-10-27,4,Cleanliness,Clean store and helpful staff.,True,App
FB-00258,N-0009,Northeast,2023-10-27,5,App Experience,Fastest drive-thru I've been to.,True,In-Store Kiosk
FB-00302,M-0004,Midwest,2023-10-30,4,Food Quality,Usually consistent quality.,True,Google Review
FB-00475,PN-0003,Pacific Northwest,2023-10-30,4,App Experience,Drink was good but had a short wait.,True,App
FB-00142,PN-0009,Pacific Northwest,2023-10-31,3,Drink Quality,Drink was okay but took longer than usual.,True,Google Review
FB-00005,S-0003,Southwest,2023-11-04,4,Service Speed,Clean store and helpful staff.,True,Email Survey
FB-00571,M-0002,Mid-Atlantic,2023-11-04,5,Service Speed,Staff was incredibly friendly and welcoming.,True,In-Store Kiosk
FB-00398,M-0001,Midwest,2023-11-04,3,Staff Friendliness,"Average visit, nothing special.",True,In-Store Kiosk
FB-00183,WC-0005,West Coast,2023-11-05,5,Cleanliness,Staff was incredibly friendly and welcoming.,True,Google Review
FB-00051,PN-0007,Pacific Northwest,2023-11-05,3,Drink Quality,Store was a bit crowded.,True,Google Review
FB-00125,N-0003,Northeast,2023-11-07,5,Cleanliness,App order was ready early.,True,App
FB-00343,PN-0010,Pacific Northwest,2023-11-07,3,Loyalty Rewards,"Barista seemed new, but got it right eventually.",True,Email Survey
FB-00028,S-0008,Southeast,2023-11-08,3,Loyalty Rewards,"Barista seemed new, but got it right eventually.",True,Email Survey
FB-00274,S-0008,Southwest,2023-11-14,3,Cleanliness,Store was a bit crowded.,True,Email Survey
FB-00226,M-0010,Midwest,2023-11-16,3,Drink Quality,"Average visit, nothing special.",True,App
FB-00115,N-0001,Northeast,2023-11-16,4,Food Quality,Drink was good but had a short wait.,True,App
FB-00386,WC-0009,West Coast,2023-11-17,4,Drink Quality,Drink was good but had a short wait.,True,App
FB-00449,S-0001,Southeast,2023-11-18,4,Service Speed,Drink was good but had a short wait.,True,In-Store Kiosk
FB-00042,M-0010,Mid-Atlantic,2023-11-21,4,Drink Quality,Good experience overall.,True,In-Store Kiosk
FB-00276,M-0009,Mountain,2023-11-22,3,Cleanliness,Store was a bit crowded.,True,Google Review
FB-00120,N-0004,Northeast,2023-11-23,5,Drink Quality,Excellent service!,True,Google Review
FB-00430,S-0002,Southeast,2023-11-25,4,Service Speed,Clean store and helpful staff.,True,In-Store Kiosk
FB-00509,M-0003,Midwest,2023-11-26,2,Loyalty Rewards,Store was not clean.,False,Email Survey
FB-00172,PN-0009,Pacific Northwest,2023-11-27,4,Staff Friendliness,Clean store and helpful staff.,True,Email Survey
FB-00136,PN-0003,Pacific Northwest,2023-11-27,3,Drink Quality,"Barista seemed new, but got it right eventually.",True,Email Survey
FB-00358,S-0003,Southeast,2023-11-28,3,Staff Friendliness,"Barista seemed new, but got it right eventually.",True,Google Review
FB-00099,M-0003,Mountain,2023-11-28,4,Food Quality,Usually consistent quality.,True,In-Store Kiosk
FB-00563,M-0007,Mountain,2023-11-30,4,Service Speed,Usually consistent quality.,True,App
FB-00119,WC-0009,West Coast,2023-12-04,3,Staff Friendliness,Store was a bit crowded.,True,In-Store Kiosk
